NOMBRE EN LA BdeD,#Phase,Normalized_Phase
Iden_embarazoMultiple,0.0,0
CP_Prematuro,0.0,0
Iden_Codigo,0.0,0
Iden_Sede,0.0,0
Iden_FechaParto,0.0,0
AC_CirujiaSeno,1.0,0
edadmatcat,1.0,0
educmadresimplificada,1.0,0
educpadresimplificada,1.0,0
CP_PesoMadre,1.0,0
CP_PesoPadre,1.0,0
CP_rhMadre,1.0,0
CP_TallaMadre,1.0,0
CP_TallaPadre,1.0,0
CSP_DistanciaVivienda,1.0,0
CSP_EscolaridadMadre,1.0,0
CSP_EscolaridadPadre,1.0,0
CSP_IngresoMensual,1.0,0
CSP_Menores5vivenMadre,1.0,0
CSP_MesTabajoEmba,1.0,0
ninosmenosde5anos,1.0,0
CSP_numPersVivenIngMen,1.0,0
CSP_NutricionFam,1.0,0
percapindic,1.0,0
percapita,1.0,0
CSP_SituacionLaboralMadre,1.0,0
CSP_SituacionLaboralPadre,1.0,0
CSP_SituaPareja,1.0,0
SSalud,1.0,0
CSP_TipoVivienda,1.0,0
CP_ARO,2.0,0
AROCAT02,2.0,0
controlcat,2.0,0
corticodosis,2.0,0
corticoprenatalmenos34,2.0,0
corticoprenatalsimple,2.0,0
CP_DIU,2.0,0
ecocat,2.0,0
CP_EcoPrimerTrimestre,2.0,0
CP_Ectopico,2.0,0
CP_edadmaterna,2.0,0
embarazoplanifDIU,2.0,0
embarazoplanifhormonal,2.0,0
embbajoplanificacion,2.0,0
CP_EnfermeraJefe,2.0,0
ERN_FUM,2.0,0
CP_HospitalizacionEmbarazoAccidentes,2.0,0
CP_HospitalizacionEmbarazoAnemia,2.0,0
CP_HospitalizacionEmbarazoAPP,2.0,0
CP_HospitalizacionEmbarazoEclampsia,2.0,0
CP_HospitalizacionEmbarazoEnfermedadRespiratoria,2.0,0
CP_HospitalizacionEmbarazoInfeccionGinecologica,2.0,0
CP_HospitalizacionEmbarazoInfeccionUrinaria,2.0,0
CP_HospitalizacionEmbarazoPreeclampsia,2.0,0
CP_HospitalizacionEmbarazoSangrado,2.0,0
CP_HospitalizacionesPreParto,2.0,0
CP_MadreAlcohol,2.0,0
CP_MadreDrogas,2.0,0
CP_MadreFumo,2.0,0
CP_Medicamentos,2.0,0
CP_MesInicCP,2.0,0
CP_Mortinato,2.0,0
CP_NacidoVivo,2.0,0
CP_NumEcografias,2.0,0
CP_Hormonales,2.0,0
CP_Gestacion,2.0,0
CP_EstuvoHosp,2.0,0
pdpcat,2.0,0
CP_Paridad,2.0,0
CP_PartoCesarea,2.0,0
CP_MedGeneral,2.0,0
RELACIONAROSOBRETOTALCONSULTAS,2.0,0
CP_SA_Anemia,2.0,0
CP_SA_APP,2.0,0
CP_SA_EnfRespiratoria,2.0,0
CP_SA_InfGineco,2.0,0
CP_SA_InfUrinaria,2.0,0
CP_SA_Preclampsia,2.0,0
CP_SA_RPM,2.0,0
CP_SA_Sangrado,2.0,0
Sufrimientofetalcronico,2.0,0
CP_TotalCPN,2.0,0
toxemia,2.0,0
CP_TP_HepatitisB,2.0,0
CP_TP_HIV,2.0,0
CP_TP_Orina,2.0,0
CP_TP_Rubeola,2.0,0
CP_TP_Sifilis,2.0,0
CP_TP_Toxoplasmosis,2.0,0
trimestre,2.0,0
CSP_EmbarazoDeseado,2.0,0
anemiamadre,2.0,0
AC_AdapSeno,3.0,0
AC_AdmGoteo,3.0,0
AC_ApoyoLactancia,3.0,0
AC_CansaNinoChupando,3.0,0
AC_MadreAmamanta,3.0,0
RCIUPCentrada,3.0,0
RCIUpesoFentonentrada,3.0,0
RCIUtallaentrada,3.0,0
ERN_PC,3.0,0
ERN_Peso,3.0,0
ERN_Talla,3.0,0
ERN_AdaptNeonatal,3.0,0
anoxia5mn,3.0,0
ERN_A_10min,3.0,0
ERN_A_1min,3.0,0
ERN_A_5min,3.0,0
apgarcat1,3.0,0
apgarcat5,3.0,0
BPN,3.0,0
ERN_Ballard,3.0,0
ERN_Eco,3.0,0
V7,3.0,0
gestacat,3.0,0
INFECCIONOSOCOMIAL,3.0,0
ERN_LubchencoFenton,3.0,0
menosde1001,3.0,0
menosde31sem,3.0,0
Nearterm,3.0,0
pesocat,3.0,0
PESO1500G,3.0,0
RCIUfentonpesotalla,3.0,0
RCIUfentonpesotallaPC,3.0,0
RCIUPC,3.0,0
RCIUpesoFenton,3.0,0
RCIUtalla,3.0,0
ERN_Remision,3.0,0
ERN_sepsis,3.0,0
ERN_Sexo,3.0,0
HD_DiasAlojamiento,3.0,0
DIASTOT08,3.0,0
hosp,3.0,0
ANOCAT,3.0,0
PA_AtendioParto,3.0,0
cesarea,3.0,0
PA_ComplicacionsPartoAbrupcio,3.0,0
PA_ComplicacionsPartoAmnionitis,3.0,0
PA_ComplicacionsPartoEclampsia,3.0,0
PA_ComplicacionsPartoMultiples,3.0,0
PA_ComplicacionsPartoPatologIaCordOn,3.0,0
PA_ComplicacionsPartoPlacentaPrevia,3.0,0
PA_ComplicacionsPartoPreeclampsia,3.0,0
PA_ComplicacionsPartoSindromedehellp,3.0,0
PA_DiasHospiMadre,3.0,0
PA_DiasUCIMadre,3.0,0
PA_DuracionRPM,3.0,0
PA_DuracionTraParto,3.0,0
PA_EstActualMadre,3.0,0
tuvotransfusiones,3.0,0
UCI,3.0,0
UCIsinsoporteventilatorio,3.0,0
PA_LiqAmnioticoMeconiado,3.0,0
PA_LugarNacimiento,3.0,0
PA_Monitoreo,3.0,0
PA_MovimientoDisminuido,3.0,0
PA_NumDosisCorticoides,3.0,0
PA_PresentacionNino,3.0,0
primipara,3.0,0
PA_RitmoCardiaco,3.0,0
PA_SufrimientoFetalAgudo,3.0,0
PA_TipoParto,3.0,0
CONSULT08,3.0,0
ecocerebral,3.0,0
REHOSP08,3.0,0
rehosp40,3.0,0
AC_DiasPosCanguro,,0
AC_EnsePosCangu,,0
AC_EntrenoOtroCuidador,,0
AC_LugarAC,,0
AC_MaxHorasLogroCargar,,0
problemaneurologico,,0
AC_RecibioChupo,,0
AC_SillaIncubadora,,0
AC_SoportePosicionC,,0
AC_ExtraSeno,,0
AC_UnidadAbierta,,0
HD_C_Apnea,,0
HD_C_Convulsiones,,0
HD_C_DisplasiaBronco,,0
HD_C_ExamenNeurologico,,0
HD_C_HemorragiaIntra,,0
HD_C_Hipoglicemia,,0
HD_C_Ictericia,,0
HD_C_OxigenoDependencia,,0
HD_CicloAntibio,,0
HD_CiclosOtroAntibio,,0
HD_CiclosUltimaLinea,,0
cpapsola,,0
HD_DiasAlimentacionPar,,0
HD_DiasCamaraCefalica,,0
HD_DiasCanulaNasa,,0
HD_DiasFototerapia,,0
HD_DiasIncubadora,,0
HD_DiasOxigeno,,0
HD_DiasUCI,,0
HD_DiasURN,,0
HD_DiasVenMecanica,,0
HD_DiasVenNoInvasiva,,0
HD_DosisAmino,,0
HD_DosisSurfactante,,0
V196,,0
HD_ExamenesGenetico,,0
HD_ExamenesHepatitisB,,0
HD_ExamenesHIV,,0
HD_ExamenesRMICerebral,,0
HD_ExamenesRubeola,,0
HD_ExamenesSifilis,,0
HD_ExamenesToxoplasmosis,,0
HD_ExamenesTSH_Tiroides,,0
